search_method,method_label,dataset,threshold,step,candidate_size_before,centroid,a_count,d_count,queried_value,feasible,pruned_count,candidate_size_after
random,Random-candidate,redis:GET,302000.000000,32,5,C32,2,1,231544.678000,0,1,4
random,Random-candidate,redis:GET,302000.000000,33,4,C23,1,3,254384.154000,0,3,1
random,Random-candidate,redis:GET,302000.000000,34,1,C15,1,1,302507.518000,1,1,0
balanced,Balanced (Ours),redis:SET,140200.000000,1,96,C01,1,96,722701.712000,1,1,95
balanced,Balanced (Ours),redis:SET,140200.000000,2,95,C93,79,1,105020.116000,0,1,94
balanced,Balanced (Ours),redis:SET,140200.000000,3,94,C95,79,1,104027.804000,0,1,93
balanced,Balanced (Ours),redis:SET,140200.000000,4,93,C02,1,62,594657.476000,1,1,92
balanced,Balanced (Ours),redis:SET,140200.000000,5,92,C15,1,62,279336.874000,1,1,91
balanced,Balanced (Ours),redis:SET,140200.000000,6,91,C94,61,1,100986.082000,0,1,90
balanced,Balanced (Ours),redis:SET,140200.000000,7,90,C03,1,45,510898.782000,1,1,89
balanced,Balanced (Ours),redis:SET,140200.000000,8,89,C91,37,1,101164.560000,0,1,88
balanced,Balanced (Ours),redis:SET,140200.000000,9,88,C04,1,44,478950.876000,1,1,87
balanced,Balanced (Ours),redis:SET,140200.000000,10,87,C09,1,44,285966.744000,1,1,86
balanced,Balanced (Ours),redis:SET,140200.000000,11,86,C74,35,1,127866.140000,0,1,85
balanced,Balanced (Ours),redis:SET,140200.000000,12,85,C20,1,43,264132.200000,1,1,84
balanced,Balanced (Ours),redis:SET,140200.000000,13,84,C77,34,1,127993.112000,0,1,83
balanced,Balanced (Ours),redis:SET,140200.000000,14,83,C23,1,42,200739.486000,1,1,82
balanced,Balanced (Ours),redis:SET,140200.000000,15,82,C58,33,1,151573.978000,1,33,49
balanced,Balanced (Ours),redis:SET,140200.000000,16,49,C88,23,1,100936.388000,0,1,48
balanced,Balanced (Ours),redis:SET,140200.000000,17,48,C92,23,1,101984.356000,0,1,47
balanced,Balanced (Ours),redis:SET,140200.000000,18,47,C29,1,24,186522.274000,1,1,46
balanced,Balanced (Ours),redis:SET,140200.000000,19,46,C67,1,24,138449.522000,0,24,22
balanced,Balanced (Ours),redis:SET,140200.000000,20,22,C64,14,1,130039.228000,0,1,21
balanced,Balanced (Ours),redis:SET,140200.000000,21,21,C21,1,8,250959.414000,1,1,20
balanced,Balanced (Ours),redis:SET,140200.000000,22,20,C60,7,1,137175.040000,0,1,19
balanced,Balanced (Ours),redis:SET,140200.000000,23,19,C63,7,1,153432.282000,1,7,12
balanced,Balanced (Ours),redis:SET,140200.000000,24,12,C40,6,1,168668.442000,1,6,6
balanced,Balanced (Ours),redis:SET,140200.000000,25,6,C47,1,6,145969.538000,1,1,5
balanced,Balanced (Ours),redis:SET,140200.000000,26,5,C57,3,1,137106.260000,0,1,4
