ConfigID,CompartmentLayout,SFI,REQ_mean,REQ_std
C66,nginx:C1 | newlib:C1 | lwip:C1 | uksched:C1,nginx:Y newlib:Y lwip:N uksched:N,21264.090,28.818
C67,nginx:C1 | newlib:C1 | lwip:C1 | uksched:C2,nginx:Y newlib:N lwip:Y uksched:N,21263.040,29.238
C68,nginx:C1 | newlib:C1 | lwip:C2 | uksched:C1,nginx:Y newlib:N lwip:Y uksched:Y,20804.064,87.483
C69,nginx:C1 | newlib:C1 | lwip:C1 | uksched:C2,nginx:Y newlib:Y lwip:N uksched:N,19971.630,7.653
C70,nginx:C1 | newlib:C1 | lwip:C1 | uksched:C2,nginx:Y newlib:Y lwip:N uksched:Y,19938.728,29.309
C71,nginx:C1 | newlib:C1 | lwip:C2 | uksched:C2,nginx:Y newlib:N lwip:Y uksched:Y,19856.046,112.566
C72,nginx:C1 | newlib:C1 | lwip:C2 | uksched:C2,nginx:Y newlib:N lwip:Y uksched:N,19793.240,112.277
C73,nginx:C1 | newlib:C1 | lwip:C2 | uksched:C1,nginx:Y newlib:Y lwip:N uksched:Y,19773.318,80.677
C74,nginx:C1 | newlib:C1 | lwip:C3 | uksched:C2,nginx:Y newlib:N lwip:Y uksched:Y,19651.596,88.641
C75,nginx:C1 | newlib:C1 | lwip:C3 | uksched:C2,nginx:Y newlib:N lwip:Y uksched:N,19632.992,126.213
C76,nginx:C1 | newlib:C1 | lwip:C2 | uksched:C3,nginx:Y newlib:N lwip:Y uksched:Y,19630.832,49.729
C77,nginx:C1 | newlib:C1 | lwip:C2 | uksched:C3,nginx:Y newlib:N lwip:Y uksched:N,19624.696,62.784
C78,nginx:C1 | newlib:C1 | lwip:C2 | uksched:C1,nginx:Y newlib:Y lwip:N uksched:N,19494.204,50.236
C79,nginx:C1 | newlib:C1 | lwip:C2 | uksched:C3,nginx:Y newlib:Y lwip:N uksched:Y,18722.926,80.664
C80,nginx:C1 | newlib:C1 | lwip:C3 | uksched:C2,nginx:Y newlib:Y lwip:N uksched:Y,18676.202,71.820
C81,nginx:C1 | newlib:C1 | lwip:C2 | uksched:C2,nginx:Y newlib:Y lwip:N uksched:N,18658.736,72.464
C82,nginx:C1 | newlib:C1 | lwip:C3 | uksched:C2,nginx:Y newlib:Y lwip:N uksched:N,18557.950,34.708
C83,nginx:C1 | newlib:C1 | lwip:C2 | uksched:C2,nginx:Y newlib:Y lwip:N uksched:Y,18556.572,41.607
C84,nginx:C1 | newlib:C1 | lwip:C2 | uksched:C3,nginx:Y newlib:Y lwip:N uksched:N,18516.886,80.739
C85,nginx:C1 | newlib:C1 | lwip:C1 | uksched:C1,nginx:Y newlib:Y lwip:Y uksched:N,17966.440,41.865
C86,nginx:C1 | newlib:C1 | lwip:C1 | uksched:C1,nginx:Y newlib:Y lwip:Y uksched:Y,17907.260,16.105
C87,nginx:C1 | newlib:C1 | lwip:C2 | uksched:C1,nginx:Y newlib:Y lwip:Y uksched:N,17280.964,18.686
C88,nginx:C1 | newlib:C1 | lwip:C1 | uksched:C2,nginx:Y newlib:Y lwip:Y uksched:Y,17210.618,28.317
C89,nginx:C1 | newlib:C1 | lwip:C1 | uksched:C2,nginx:Y newlib:Y lwip:Y uksched:N,17206.146,30.534
C90,nginx:C1 | newlib:C1 | lwip:C2 | uksched:C1,nginx:Y newlib:Y lwip:Y uksched:Y,17130.632,45.775
C91,nginx:C1 | newlib:C1 | lwip:C2 | uksched:C3,nginx:Y newlib:Y lwip:Y uksched:N,16130.300,62.936
C92,nginx:C1 | newlib:C1 | lwip:C3 | uksched:C2,nginx:Y newlib:Y lwip:Y uksched:N,16107.452,49.510
C93,nginx:C1 | newlib:C1 | lwip:C2 | uksched:C2,nginx:Y newlib:Y lwip:Y uksched:N,16096.476,66.256
C94,nginx:C1 | newlib:C1 | lwip:C2 | uksched:C2,nginx:Y newlib:Y lwip:Y uksched:Y,16050.768,39.533
C95,nginx:C1 | newlib:C1 | lwip:C2 | uksched:C3,nginx:Y newlib:Y lwip:Y uksched:Y,16022.298,29.616
C96,nginx:C1 | newlib:C1 | lwip:C3 | uksched:C2,nginx:Y newlib:Y lwip:Y uksched:Y,15993.054,65.438
